%time,t(ns),field.orientation.x,field.orientation.y,field.orientation.z,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,t(s)
1.63E+18,0,-0.000303376,0.000200123,4.18E-05,0.000798382,0.4688375,0.205107629,0
1.63E+18,9960192,-0.000307959,0.000196643,4.59E-05,0.001986797,0.466344744,0.204459742,0.009960192
1.63E+18,19950080,-0.000311507,0.000209327,5.43E-05,0.002173379,0.46702382,0.20084399,0.01995008
1.63E+18,29980160,-0.000308702,0.000219284,5.95E-05,0.001118809,0.468033135,0.197818413,0.02998016
1.63E+18,39950080,-0.000301553,0.000228773,5.81E-05,-0.00030384,0.46797806,0.200568706,0.03995008
1.63E+18,49970176,-0.000293108,0.000236313,4.98E-05,-0.00120571,0.469253004,0.204870507,0.049970176
1.63E+18,59970048,-0.00028899,0.000242501,4.46E-05,0.000355632,0.468628824,0.20626159,0.059970048
1.63E+18,69970176,-0.000287128,0.000247914,4.59E-05,0.00102341,0.465452254,0.20535399,0.069970176
1.63E+18,79960064,-0.000267498,0.000196738,4.49E-05,5.73E-05,0.462607741,0.202687025,0.079960064
1.63E+18,89980160,-0.000250368,0.000193212,4.19E-05,0.000516897,0.463232785,0.204935431,0.08998016
1.63E+18,99950080,-0.000245762,0.000191342,4.37E-05,0.001033351,0.467504144,0.205638304,0.09995008
1.63E+18,110020096,-0.000256281,0.000179228,4.17E-05,-0.00044255,0.471945822,0.207166523,0.110020096
1.63E+18,120000000,-0.000258004,0.000172303,3.60E-05,-0.000133543,0.466561347,0.209832922,0.12
1.63E+18,134190080,-0.000254684,0.000186489,3.50E-05,0.00033759,0.465616137,0.205247045,0.13419008
1.63E+18,140480000,-0.000256924,0.000188899,3.13E-05,-0.00027541,0.468721062,0.203529522,0.14048
1.63E+18,149990144,-0.00027291,0.000177922,3.16E-05,0.001410793,0.471312553,0.21081011,0.149990144
1.63E+18,161530112,-0.000284802,0.00018082,3.78E-05,0.001720521,0.472153038,0.215366572,0.161530112
1.63E+18,169990144,-0.000294585,0.000192701,3.97E-05,0.000706914,0.466708869,0.215529129,0.169990144
1.63E+18,180050176,-0.000305845,0.00020612,4.13E-05,0.00107314,0.468815595,0.214081362,0.180050176
1.63E+18,190040064,-0.000323277,0.000211505,4.28E-05,0.000442553,0.466752052,0.209978178,0.190040064
1.63E+18,199970048,-0.000344345,0.000208269,3.95E-05,-0.000457833,0.46357888,0.206355825,0.199970048
1.63E+18,209960192,-0.000355438,0.000199897,3.69E-05,0.000663149,0.469469249,0.20255959,0.209960192
1.63E+18,219990016,-0.000358536,0.000192314,3.99E-05,0.001316807,0.4722386,0.200348541,0.219990016
1.63E+18,230550016,-0.000345539,0.000201354,4.06E-05,0.000567856,0.469810873,0.198696449,0.230550016
1.63E+18,240010240,-0.000326909,0.00021749,4.05E-05,0.000870633,0.468771994,0.199827015,0.24001024
1.63E+18,249950208,-0.00032093,0.000227871,4.01E-05,0.00027174,0.470011115,0.201289028,0.249950208
1.63E+18,259990016,-0.000321589,0.000242682,3.99E-05,0.000934989,0.470511049,0.199376434,0.259990016
1.63E+18,270040064,-0.000321036,0.000253709,4.10E-05,0.000384133,0.471440047,0.203068122,0.270040064
1.63E+18,279970048,-0.000336153,0.000215256,3.04E-05,-0.001041512,0.470100284,0.205606714,0.279970048
1.63E+18,289980160,-0.000342495,0.000208916,2.31E-05,-0.000720166,0.467658907,0.205340073,0.28998016
1.63E+18,300000256,-0.000343978,0.000219258,1.76E-05,-0.000290726,0.467548519,0.207089216,0.300000256
1.63E+18,309960192,-0.00035006,0.00023266,1.67E-05,0.000807057,0.470109612,0.209544405,0.309960192
1.63E+18,321030144,-0.000361137,0.000248879,1.85E-05,0.000981571,0.469048083,0.212974444,0.321030144
1.63E+18,330460160,-0.00037325,0.000255673,2.26E-05,0.001930903,0.464412749,0.213110387,0.33046016
1.63E+18,339970048,-0.00038016,0.000256245,3.39E-05,0.003336822,0.463680863,0.204940394,0.339970048
1.63E+18,349970176,-0.000374058,0.00027138,4.49E-05,0.002209072,0.467869699,0.197349057,0.349970176
1.63E+18,360220160,-0.000380437,0.000280601,4.70E-05,0.00033606,0.473163396,0.201815709,0.36022016
1.63E+18,373660160,-0.000402322,0.000274435,4.24E-05,-0.000853973,0.474884093,0.205584303,0.37366016
1.63E+18,382460160,-0.000409937,0.000276974,3.34E-05,-0.001214415,0.470742255,0.205033034,0.38246016
1.63E+18,389960192,-0.000402085,0.000282867,2.94E-05,0.000688641,0.468012959,0.205756024,0.389960192
1.63E+18,400090112,-0.000402293,0.000291143,3.26E-05,0.001391819,0.470040023,0.204123452,0.400090112
1.63E+18,411640064,-0.000414979,0.000306362,3.81E-05,0.001858082,0.46835193,0.201111123,0.411640064
1.63E+18,419950080,-0.000423478,0.000310732,4.24E-05,0.001123464,0.466881931,0.20167923,0.41995008
1.63E+18,430020096,-0.000422575,0.000313762,4.46E-05,0.001065604,0.467724115,0.203230038,0.430020096
1.63E+18,450020096,-0.000444993,0.000315696,4.40E-05,6.89E-05,0.469917446,0.210177019,0.450020096
1.63E+18,459990016,-0.000457535,0.00032663,4.24E-05,8.56E-05,0.467949152,0.209243014,0.459990016
1.63E+18,469970176,-0.000472162,0.000337766,3.81E-05,-0.00024268,0.465696782,0.205297217,0.469970176
1.63E+18,479950080,-0.0004983,0.000336497,3.09E-05,0.00011489,0.469634384,0.19997935,0.47995008
1.63E+18,490100224,-0.000505607,0.000341969,2.78E-05,8.24E-06,0.468098193,0.198453143,0.490100224
1.63E+18,499990016,-0.000517952,0.000334896,2.61E-05,0.000507779,0.465553164,0.203419507,0.499990016
1.63E+18,509950208,-0.000536887,0.000326507,2.50E-05,-3.65E-06,0.47019884,0.200307131,0.509950208
1.63E+18,519950080,-0.000542436,0.000337736,2.12E-05,2.63E-05,0.472501755,0.200021014,0.51995008
1.63E+18,530200064,-0.000538044,0.000347085,2.09E-05,0.000966503,0.471550435,0.207763731,0.530200064
